,State,County,Democratic,Republican,Party
0,NV,eureka,0.0,7835.645525395201,0
1,TX,zavala,0.0,4878.096205051032,0
2,VA,king george,17243.910653104595,17140.190135586894,1
3,OH,hamilton,178557.72667091296,112207.48466639842,1
4,TX,austin,5584.358602479162,4562.701127745448,0
5,MI,barry,11647.622104680579,14116.320735019726,0
6,NM,valencia,10214.265967174008,18142.218524150823,0
7,TX,ellis,33051.7749259893,28087.729584697874,0
8,NJ,mercer,92596.24942417565,54625.25658970469,1
9,PA,cambria,29222.476294492506,29167.01648780569,0
10,IN,switzerland,0.0,0.0,0
11,NV,lander,0.0,15806.133317014477,1
12,NE,cherry,608.0711375900901,7242.199794200953,0
13,VA,radford city,17333.308897398005,2116.015346666896,1
14,FL,lee,144808.0423439435,98789.22680883264,0
15,MI,arenac,0.0,3554.6317502160273,0
16,TX,shackelford,5715.36785945556,1996.8820369428067,0
17,NJ,gloucester,67909.76717851931,61810.8051456705,1
18,OH,trumbull,40477.31679461962,35068.21409186519,0
19,OH,lawrence,7983.432729077871,16381.282502345017,0
20,ND,burke,1477.8439078449119,5490.104281519245,0
21,TX,hardeman,0.0,0.0,0
22,NE,keya paha,84.4695988547428,0.0,0
23,VA,norton city,0.0,5143.42692582111,0
24,ND,bowman,2735.395534769319,6066.955394253677,0
25,UT,duchesne,0.0,5910.8859729154665,0
26,MN,carlton,9311.621203371167,12497.341253656106,0
27,FL,okaloosa,48256.39254528706,37091.02193982835,0
28,TX,oldham,5384.953469068019,634.0999863591387,0
29,MT,lewis and clark,30227.65630840799,27152.335567016096,1
30,NY,rockland,83022.45108352511,58382.34931300435,1
31,TX,waller,6009.119170532445,0.0,0
32,VA,falls church city,56864.31708649438,45887.26898386499,1
33,PA,potter,0.0,488.65226729065034,0
34,MI,gratiot,3612.1530139664937,7086.950315256847,0
35,MI,shiawassee,10850.252848668282,15795.6321482223,0
36,MN,polk,10365.505519434075,11451.446997962672,0
37,ND,billings,4994.420874206327,11913.213434425068,0
38,ND,mckenzie,5390.01594799327,7603.0194143517965,1
39,WY,weston,760.2561028006858,7889.827329220425,0
40,MT,jefferson,14918.639908817227,11831.729909246942,1
41,VT,bennington,20936.52066362865,16423.9739492398,1
42,FL,clay,43966.04069933515,36566.70123336048,0
43,AZ,yuma,33606.44918998889,22216.878985765346,0
44,TX,terrell,0.0,0.0,0
45,MA,bristol,119431.70610762924,86130.98482917811,0
46,WV,webster,0.0,3801.883439130612,0
47,TX,collingsworth,0.0,0.0,0
48,NY,chautauqua,28268.721089732102,24960.753453136003,0
49,TN,fayette,8915.09740747599,5034.336643182818,0
50,TX,bandera,7741.370129828512,9763.588400450439,0
51,NJ,union,122150.38773652804,66799.59991069244,1
52,TX,sherman,492.2099646876486,0.0,0
53,NY,seneca,7567.590282038502,12450.186163684162,0
54,TX,martin,0.0,905.360283492173,0
55,UT,tooele,13063.100831548223,20599.54748655639,0
56,MD,talbot,21991.559372161017,19786.84410008862,1
57,FL,highlands,16508.167088058195,22287.780500827914,0
58,IN,gibson,3499.1907613093354,8706.983511976316,0
59,MD,allegany,13574.939460616926,18614.15333846347,0
60,MI,mecosta,10763.966932718464,8598.186537448846,0
61,TX,jasper,0.0,0.0,0
62,DE,new castle,125564.87907208159,80224.50689397528,1
63,VA,warren,7906.677313822402,18328.950795295277,0
64,OH,ashtabula,14525.325505361885,18849.679642278435,0
65,WV,ohio,19185.23544408929,16168.390854088433,0
66,NM,bernalillo,147552.48158995187,97286.79267954195,0
67,FL,calhoun,0.0,2882.170618716631,0
68,NM,torrance,0.0,0.0,0
